,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK,1805,1363,1008,0.74,1081,724,0,230,706,1099,1081,714,562,0.787,0,52,116,433,648,724,724,649,446,0.687,114,273,451,0,0,0,0,0,0,494,494,494,390,0.789,49,33,84,410
AL,4221,3681,1609,0.437,1662,2525,34,432,1350,2871,1662,1355,694,0.512,73,247,155,481,1181,2525,2525,2292,881,0.384,277,869,1656,34,34,34,34,1,34,2189,2189,2189,1448,0.661,466,257,765,1424
AR,2700,2116,1463,0.691,1480,1220,0,308,955,1745,1480,1034,765,0.74,0,149,146,505,975,1220,1220,1082,698,0.645,162,450,770,0,0,0,0,0,0,898,898,888,665,0.749,96,140,346,552
AZ,8914,7179,6272,0.874,4111,4763,40,1457,5102,3812,4111,2838,2233,0.787,201,224,547,1926,2185,4763,4763,4301,3999,0.93,910,3176,1587,40,40,40,40,1,40,4508,4508,4436,4281,0.965,801,529,1621,2887
CA,50282,45189,28935,0.64,20010,30065,207,6483,22016,28266,20010,17498,10895,0.623,5764,5333,1951,7196,12814,30065,30065,27484,17858,0.65,4532,14820,15245,207,207,207,182,0.879,207,39772,39772,39700,20700,0.521,10301,5747,16379,23393
CO,6420,5625,4930,0.876,2591,3804,25,1223,3522,2898,2591,1927,1603,0.832,150,385,371,1191,1400,3804,3804,3673,3302,0.899,852,2331,1473,25,25,25,25,1,25,2634,2634,2634,2205,0.837,1005,297,799,1835
CT,3921,3592,3283,0.914,2270,1651,0,537,1689,2232,2270,2062,1984,0.962,356,328,284,955,1315,1651,1651,1530,1299,0.849,253,734,917,0,0,0,0,0,0,4261,4261,4192,3592,0.857,1589,585,1734,2527
DC,6375,6300,5449,0.865,3471,2879,25,864,2661,3714,3471,3413,3287,0.963,573,0,321,1001,2470,2879,2879,2862,2137,0.747,543,1660,1219,25,25,25,25,1,25,4832,4832,4796,2659,0.554,2286,470,1632,3200
DE,1233,1163,739,0.635,530,693,10,155,490,743,530,460,304,0.661,125,155,64,197,333,693,693,693,425,0.613,91,293,400,10,10,10,10,1,10,365,365,365,283,0.775,153,14,35,330
FL,23362,20531,14850,0.723,9418,13772,172,2522,8955,14407,9418,7667,6307,0.823,518,2360,916,3496,5922,13772,13772,12692,8371,0.66,1606,5459,8313,172,172,172,172,1,172,10258,10258,9851,7547,0.766,2196,1363,4245,6013
GA,9965,8638,6865,0.795,4630,5335,0,1192,4262,5703,4630,3792,3091,0.815,379,282,403,1432,3198,5335,5335,4846,3774,0.779,789,2830,2505,0,0,0,0,0,0,4391,4391,4355,3545,0.814,694,679,1960,2431
