,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK,1939,1499,1228,0.819,1208,731,0,289,860,1079,1208,848,670,0.79,20,59,172,561,647,731,731,651,558,0.857,117,299,432,0,0,0,0,0,0,586,586,581,434,0.747,50,54,129,457
AL,4497,3965,2052,0.518,1830,2633,34,494,1562,2935,1830,1534,993,0.647,86,170,226,652,1178,2633,2633,2397,1025,0.428,268,910,1723,34,34,34,34,1,34,2533,2533,2533,1470,0.58,563,285,871,1662
AR,2710,2109,1417,0.672,1590,1120,0,444,1052,1658,1590,1129,718,0.636,0,146,281,644,946,1120,1120,980,699,0.713,163,408,712,0,0,0,0,0,0,1056,1056,1046,674,0.644,96,154,364,692
AZ,8748,7053,6073,0.861,4091,4617,40,1500,4769,3979,4091,2869,2196,0.765,219,253,564,1821,2270,4617,4617,4144,3837,0.926,936,2948,1669,40,40,40,40,1,40,4731,4731,4681,4316,0.922,826,516,1582,3149
CA,49657,44325,31135,0.702,19958,29501,198,6799,23043,26614,19958,17337,10719,0.618,5639,5901,2302,7959,11999,29501,29501,26790,20220,0.755,4497,15084,14417,198,198,198,196,0.99,198,42530,42530,42430,22509,0.53,11696,6380,17890,24640
CO,6361,5620,4944,0.88,2619,3717,25,1262,3475,2886,2619,1995,1705,0.855,310,632,425,1230,1389,3717,3717,3600,3214,0.893,837,2245,1472,25,25,25,25,1,25,2947,2947,2947,2502,0.849,959,319,838,2109
CT,3906,3589,3136,0.874,2333,1573,0,515,1596,2310,2333,2124,1924,0.906,391,260,282,945,1388,1573,1573,1465,1212,0.827,233,651,922,0,0,0,0,0,0,4721,4721,4673,3594,0.769,1713,641,1976,2745
DC,6479,6373,5491,0.862,3427,3052,0,1024,3033,3446,3427,3341,3177,0.951,673,0,371,1082,2345,3052,3052,3032,2314,0.763,653,1951,1101,0,0,0,0,0,0,5566,5566,5531,3266,0.59,3882,696,2222,3344
DE,1216,1146,682,0.595,515,691,10,169,541,675,515,445,289,0.649,125,101,68,201,314,691,691,691,383,0.554,101,340,351,10,10,10,10,1,10,471,471,471,383,0.813,168,14,37,434
FL,23974,21170,15874,0.75,9774,14022,178,2911,9672,14302,9774,7954,6749,0.849,735,1747,1031,3695,6079,14022,14022,13038,8947,0.686,1880,5977,8045,178,178,178,178,1,178,11786,11786,11786,7600,0.645,2616,1581,4463,7323
GA,11167,9668,6459,0.668,5137,6030,0,1319,4827,6340,5137,4292,2703,0.63,193,200,420,1566,3571,6030,6030,5376,3756,0.699,899,3261,2769,0,0,0,0,0,0,5512,5512,5456,3550,0.651,2842,1112,2767,2745
GU,264,199,194,0.975,109,155,0,60,193,71,109,54,54,1,0,7,25,75,34,155,155,145,140,0.966,35,118,37,0,0,0,0,0,0,101,101,101,53,0.525,64,10,37,64
HI,4250,4041,3865,0.956,1522,2703,25,775,3021,1229,1522,1351,1316,0.974,0,64,220,893,629,2703,2703,2665,2524,0.947,555,2128,575,25,25,25,25,1,25,1067,1067,1067,1022,0.958,455,75,257,810
IA,3982,3277,2799,0.854,1578,2404,0,724,2252,1730,1578,1119,820,0.733,37,56,234,748,830,2404,2404,2158,1979,0.917,490,1504,900,0,0,0,0,0,0,894,894,894,650,0.727,132,141,430,464
ID,1895,1512,933,0.617,958,937,0,349,1024,871,958,667,335,0.502,0,48,168,423,535,937,937,845,598,0.708,181,601,336,0,0,0,0,0,0,539,539,539,437,0.811,218,86,246,293
